title,text,link,source
Iranian leader calls missile attack a 'slap' at US bases,"TEHRAN, Iran (AP) — Iran struck back at the United States early Wednesday for killing its most powerful military commander, firing a barrage of ballistic missiles ...",The Associated Press,https://www.news.google.com/./articles/CAIiEADmyaibul1_k6ML4yNGq3sqFwgEKg8IACoHCAowhO7OATDh9Cgwu4lR?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran’s Supreme Leader Ayatollah Ali Khamenei Calls Missile Strike A ‘Slap’ At U.S.,"Topline: Iran's Supreme Leader, Ayatollah Ali Khamenei, has hinted at further attacks hours after retaliatory missile attacks on U.S.-led forces in Iraq on ...",Forbes,https://www.news.google.com/./articles/CAIiEOPZJHgx7mi8KoxQnTQvqvAqFQgEKg0IACoGCAowrqkBMKBFMJGBAg?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran sending messages to militias not to attack US targets – latest updates,"""We're receiving some encouraging intelligence that Iran is sending messages to those very same militias not to move against American targets or civilians, and ...",TRT World,https://www.news.google.com/./articles/CAIiEPybg-K0iJ2Cb0GCFUb3OdIqGQgEKhAIACoHCAowtKb8CjD05IgDMKDU-QU?hl=en-PK&gl=PK&ceid=PK%3Aen
Pelosi says House will vote Thursday on measure to limit Trump's military actions regarding Iran,"Addressing the nation from the White House, President Trump said an Iranian strike caused only “minimal damage” at two Iraqi bases housing U.S. military ...",The Washington Post,https://www.news.google.com/./articles/CAIiEIaqk9xwqy3o_ELy7ceHIAgqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-PK&gl=PK&ceid=PK%3Aen
3 Hours From Alert to Attacks: Inside the Race to Protect U.S. Forces From Iran Strikes,"Intelligence that foreshadowed the Iranian attack set off a tense, often confusing afternoon in the White House Situation Room.",The New York Times,https://www.news.google.com/./articles/CAIiEODitScVUiHT08h8RTB69CoqFwgEKg8IACoHCAowjuuKAzCWrzwwloEY?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran Supreme Leader calls missile attack “a slap in the face” to America | Watch News Videos Online,"After Iran stuck back at the United States, Iran's leader Ayatollah Khamenei said that Iran gave the United States 'a slap in the face'. He also stated that the US ...",Globalnews.ca,https://www.news.google.com/./articles/CBMiamh0dHBzOi8vZ2xvYmFsbmV3cy5jYS92aWRlby82MzgwODk3L2lyYW4tc3VwcmVtZS1sZWFkZXItY2FsbHMtbWlzc2lsZS1hdHRhY2stYS1zbGFwLWluLXRoZS1mYWNlLXRvLWFtZXJpY2HSAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
Top cleric urges supporters not to attack US as Donald Trump says regime has backed down,"A senior Iraqi cleric has urged supporters not to attack the United States, shortly after Donald Trump said Iran appeared to be backing down from its bellicose ...",The Telegraph,https://www.news.google.com/./articles/CAIiEDvSzUkJl6W1nK_p7KcFbHMqFggEKg4IACoGCAowm6R6MMKqCTCfrxU?hl=en-PK&gl=PK&ceid=PK%3Aen
"U.S. Strike in Iraq Kills Qassim Suleimani, Commander of Iranian Forces","WEST PALM BEACH, Fla. — Iran's top security and intelligence commander was killed early Friday in a drone strike at Baghdad International Airport that was ...",The New York Times,https://www.news.google.com/./articles/CAIiEOcoyA_4GiP0REeB0KzzTawqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-PK&gl=PK&ceid=PK%3Aen
The Latest: Iran calls missile attack 'self-defense',"TEHRAN, Iran (AP) — The latest on U.S.-Iran tensions in the wake of the U.S. airstrike that killed Iran's top general (all times local):. 6:05 a.m.. Iran's foreign ...",WTMJ,https://www.news.google.com/./articles/CBMiV2h0dHBzOi8vd3Rtai5jb20vbmF0aW9uYWwvMjAyMC8wMS8wNy90aGUtbGF0ZXN0LWlyYW4tY2FsbHMtbWlzc2lsZS1hdHRhY2stc2VsZi1kZWZlbnNlL9IBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
The Killing of Gen. Qassim Suleimani: What We Know Since the U.S. Airstrike,"Iran's supreme leader, Ayatollah Ali Khamenei, promised retaliation. The U.S. moved to send more troops to the Middle East. And a deluge of threats on social ...",The New York Times,https://www.news.google.com/./articles/CAIiEOUcivdABjqAC6TtSkV_hQ4qFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran strikes back at US with missile attack on bases in Iraq,The Pentagon confirmed that Iran launched ballistic missiles at two targets hosting U.S. military and coalition forces in Iraq.,KLTV,https://www.news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmtsdHYuY29tLzIwMjAvMDEvMDcvaXJhbi1ndWFyZC1sZWFkZXItdGhyZWF0ZW5zLXNldC1hYmxhemUtdXMtYmFja2VkLXBsYWNlcy10b3AtZ2VuZXJhbHMtZnVuZXJhbC_SAXxodHRwczovL3d3dy5rbHR2LmNvbS8yMDIwLzAxLzA3L2lyYW4tZ3VhcmQtbGVhZGVyLXRocmVhdGVucy1zZXQtYWJsYXplLXVzLWJhY2tlZC1wbGFjZXMtdG9wLWdlbmVyYWxzLWZ1bmVyYWwvP291dHB1dFR5cGU9YW1w?hl=en-PK&gl=PK&ceid=PK%3Aen
Iraq's PM Adel Abdul Mahdi says 'urgent measures' should be taken to remove foreign forces - The,ISTANBUL — Iran said Sunday that it is suspending its commitments under the 2015 nuclear deal it had struck with world powers and will abandon the accord's ...,The Washington Post,https://www.news.google.com/./articles/CAIiEBZbFHUBJSU_7U78Jouq5sQqGAgEKg8IACoHCAowjtSUCjC30XQwn6G5AQ?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran Ends Nuclear Limits as Killing of Iranian General Upends Mideast,"BAGHDAD — The consequences of the American killing of a top Iranian general rippled across the Middle East and beyond on Sunday, with Iran all but ...",The New York Times,https://www.news.google.com/./articles/CAIiEO2xxcgTyDK7CO6h0yL3yrgqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-PK&gl=PK&ceid=PK%3Aen
Iran's Khamenei calls missile attacks on US forces in Iraq 'slap across Americans',Iranian Supreme Leader Ayatollah Ali Khamenei on Wednesday called an overnight missile strike on military bases where U.S. troops are stationed in Iraq a ...,Ynetnews,https://www.news.google.com/./articles/CBMiKmh0dHBzOi8vd3d3LnluZXRuZXdzLmNvbS9hcnRpY2xlL0JKUms2Ym1nVdIBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
US drone strike ordered by Trump kills top Iranian commander in Baghdad,"The commander of Iran's Quds Froce has been killed in a United States strike ordered by President Donald Trump and aimed at ""deterring future Iranian attack ...",CNN,https://www.news.google.com/./articles/CAIiEESLl6atXR9NfpRt7oQ4kD0qGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-PK&gl=PK&ceid=PK%3Aen
Iraqi leader faces tricky balancing act as main allies confront one another,Iraqi Prime Minister Adel Abdul Mahdi on Wednesday urged Washington and Tehran to show restraint following Iranian missile attacks on U.S. troops in Iraq as ...,Reuters,https://www.news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtaXJhcS1zZWN1cml0eS1nb3Zlcm5tZW50L2lyYXFpLXBtLXJlY2VpdmVkLXdvcmQtZnJvbS1pcmFuLWFib3V0LW1pc3NpbGUtYXR0YWNrLWlkVVNLQk4xWjcxRljSATRodHRwczovL21vYmlsZS5yZXV0ZXJzLmNvbS9hcnRpY2xlL2FtcC9pZFVTS0JOMVo3MUZY?hl=en-PK&gl=PK&ceid=PK%3Aen
